id,text,category,severity,lang
615,"Traffic light malfunctioning, blinking red in all directions.","TRAFFIC",2,"en"
616,"Man unconscious on the side of the road, unknown cause. Needs immediate medical help.","MEDICAL",5,"en"
617,"Suspect seen trying to pickpocket in a crowded area.","CRIME",1,"en"
618,"A small power surge caused minor damage to electronics in a house.","INFRASTRUCTURE",1,"en"
619,"A person is stuck in a drainage pipe. Non-life-threatening but needs rescue.","MEDICAL",3,"en"
620,"Minor traffic delay due to a broken-down truck.","TRAFFIC",1,"en"
621,"A large, aggressive dog loose in a public park, threatening passersby.","OTHER",2,"en"
622,"Fire alarm false activation due to steam in a laundry room.","FIRE",0,"en"
623,"Attempted bank fraud reported; police are monitoring the suspects.","CRIME",2,"en"
624,"Minor rear-end collision, cars pulled over to the side of the road.","TRAFFIC",1,"en"
625,"Vandalism reported: graffiti sprayed on a bus stop shelter.","OTHER",1,"en"
626,"Minor power outage in a single office building due to a tripped breaker.","INFRASTRUCTURE",0,"en"
627,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
628,"Small fire in a trash bin in Kazanchis, quickly contained. No major damage.","FIRE",1,"en"
629,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
630,"Armed robbery at a jewelery store, suspects are still on the scene.","CRIME",4,"en"
631,"Woman suffering from severe abdominal pain and fever, potential appendicitis.","MEDICAL",3,"en"
632,"Children playing loudly in the park after hours. Not an emergency.","OTHER",0,"en"
633,"A large **eucalyptus** tree fell across the main power lines, causing long-term outage.","INFRASTRUCTURE",3,"mix"
634,"Fire in a residential area, limited to the fence and garden.","FIRE",2,"en"
635,"Four-way stop sign damaged, causing confusion and near-misses.","TRAFFIC",2,"en"
636,"Attempted car theft near **Sarbet**, the suspect was scared away by a security guard.","CRIME",2,"mix"
637,"A person with a massive cut on their arm needs stitches immediately.","MEDICAL",2,"en"
638,"Suspicious vehicle parked illegally for over 24 hours.","OTHER",0,"en"
639,"Road collapse due to heavy vehicle traffic, large infrastructure damage.","INFRASTRUCTURE",4,"en"
640,"Smoke coming from the engine of a parked bus. Minor fire risk.","FIRE",2,"en"
641,"Woman with severe bleeding after childbirth needs emergency transport.","MEDICAL",5,"en"
642,"Minor traffic obstruction due to illegally parked vehicle near **St. George** Church.","TRAFFIC",1,"mix"
643,"Man arrested for public intoxication and disorderly conduct.","CRIME",1,"en"
644,"Minor accident on the highway, just a flat tire and a little delay.","TRAFFIC",1,"en"
645,"Children playing dangerously close to an open ditch. High risk.","OTHER",3,"en"
646,"House fire quickly spreading to the next building.","FIRE",5,"en"
647,"Elderly man dehydrated and confused due to the heat. Needs immediate fluid replacement.","MEDICAL",3,"en"
648,"A transformer blew up in Lideta, causing localized power outage and smoke.","INFRASTRUCTURE",3,"en"
649,"Group of people throwing rubbish into the river. Environmental hazard.","OTHER",1,"en"
650,"A dog was rescued from a drain, non-emergency service call.","OTHER",1,"en"
